rank,ticker,name,close_price,fair_value,upside_pct,star_rating,moat,uncertainty,sector,industry
459,EQT,EQT Corp,53.29,55,3.2,,None,,Energy,Oil & Gas E&P
460,CDNS,Cadence Design Systems Inc,340.02,350,2.9,,Wide,,Technology,Software - Application
461,MKTX,MarketAxess Holdings Inc,162.3,167,2.9,,Wide,,Financial Services,Capital Markets
462,COP,ConocoPhillips,120.48,124,2.9,,Narrow,,Energy,Oil & Gas E&P
463,TROW,T. Rowe Price Group Inc,111.75,115,2.9,,Narrow,,Financial Services,Asset Management
464,WPP,WPP PLC ADR,20.21,20.79,2.9,,None,,Communication Services,Advertising Agencies
465,SLB,SLB Ltd,49.59,51,2.8,,Narrow,,Energy,Oil & Gas Equipment & Services
466,M,Macy's Inc,24.82,25.5,2.7,,None,,Consumer Cyclical,Department Stores
467,HCA,HCA Healthcare Inc,402.59,413,2.6,,Narrow,,Healthcare,Medical Care Facilities
468,COIN,Coinbase Global Inc Ordinary Shares - Class A,146.26,150,2.6,,None,,Financial Services,Financial Data & Stock Exchanges
469,TNDM,Tandem Diabetes Care Inc,19.5,20,2.6,,None,,Healthcare,Medical Devices
470,COF,Capital One Financial Corp,209.01,214,2.4,,Narrow,,Financial Services,Credit Services
471,SHOP,Shopify Inc Registered Shs -A- Subord Vtg,117.15,120,2.4,,Narrow,,Technology,Software - Application
472,TTE,TotalEnergies SE,87.86,90,2.4,,None,,Energy,Oil & Gas Integrated
473,CNP,CenterPoint Energy Inc,42.04,43,2.3,,Narrow,,Utilities,Utilities - Regulated Electric
474,PPL,PPL Corp,35.21,36,2.2,,Narrow,,Utilities,Utilities - Regulated Electric
475,AES,The AES Corp,14.68,15,2.2,,None,,Utilities,Utilities - Diversified
476,DKS,Dick's Sporting Goods Inc,195.91,200,2.1,,Narrow,,Consumer Cyclical,Specialty Retail
477,PBR,Petroleo Brasileiro SA Petrobras ADR,19.4,19.8,2.1,,None,,Energy,Oil & Gas Integrated
478,ES,Eversource Energy,71.59,73,2.0,,None,,Utilities,Utilities - Regulated Electric
479,NVO,Novo Nordisk AS ADR,47.08,48,2.0,,Wide,,Healthcare,Drug Manufacturers - General
480,SBGI,Sinclair Inc Ordinary Shares - Class A,13.74,14,1.9,,None,,Communication Services,Broadcasting
481,AIG,American International Group Inc,78.58,80,1.8,3,None,,Financial Services,Insurance - Diversified
482,PCAR,PACCAR Inc,132.68,135,1.7,,Narrow,,Industrials,Farm & Heavy Construction Machinery
483,ARES,Ares Management Corp Ordinary Shares - Class A,128.09,130,1.5,,Narrow,,Financial Services,Asset Management
484,KEY,KeyCorp,22.59,22.9,1.4,,None,,Financial Services,Banks - Regional
485,NSC,Norfolk Southern Corp,335.48,340,1.3,,Wide,,Industrials,Railroads
486,NSC,Norfolk Southern Corp,335.48,340,1.3,,Wide,,Industrials,Railroads
487,HLN,Haleon PLC ADR,9.87,10,1.3,,Wide,,Healthcare,Drug Manufacturers - Specialty & Generic
488,DE,Deere & Co,592.67,600,1.2,,Wide,,Industrials,Farm & Heavy Construction Machinery
489,ABT,Abbott Laboratories,105.7,107,1.2,3,Narrow,,Healthcare,Medical Devices
490,NEE,NextEra Energy Inc,86.92,88,1.2,,Narrow,,Utilities,Utilities - Regulated Electric
491,ENPH,Enphase Energy Inc,37.54,38,1.2,,None,,Technology,Solar
492,YUM,Yum Brands Inc,153.28,155,1.1,,Wide,,Consumer Cyclical,Restaurants
493,SYY,Sysco Corp,85.24,86,0.9,,Wide,,Consumer Defensive,Food Distribution
494,DLR,Digital Realty Trust Inc,188.52,190,0.8,,None,,Real Estate,REIT - Specialty
495,TOL,Toll Brothers Inc,145.89,147,0.8,,None,,Consumer Cyclical,Residential Construction
496,IDA,Idacorp Inc,142.91,144,0.8,,Narrow,,Utilities,Utilities - Regulated Electric
